Steroids,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
0,Scott Rolen,6,297,0.76,99,40,17,70.1,43.6,56.9,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122
0,Todd Helton,5,281,0.72,175,59,17,61.8,46.6,54.2,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
0,Andruw Jones,6,226,0.58,109,34,17,62.7,46.4,54.6,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111
1,Gary Sheffield,9,214,0.55,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
0,Carlos Beltrán,1,181,0.47,126,52,20,70.1,44.4,57.3,2586,9768,1582,2725,435,1587,312,1084,0.279,0.35,0.486,0.837,119
0,X-Jeff Kent,10,181,0.47,123,51,17,55.5,35.8,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
1,Alex Rodriguez,2,139,0.36,390,77,22,117.5,64.3,90.9,2784,10566,2021,3115,696,2086,329,1338,0.295,0.38,0.55,0.93,140
1,Manny Ramirez,7,129,0.33,226,69,19,69.3,39.9,54.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
0,Omar Vizquel,6,76,0.20,120,42,24,45.6,26.8,36.2,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82
0,Bobby Abreu,4,60,0.15,95,54,18,60.2,41.6,50.9,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128
0,Jimmy Rollins,2,50,0.13,121,42,17,47.6,32.7,40.1,2275,9294,1421,2455,231,936,470,813,0.264,0.324,0.418,0.743,95
0,Torii Hunter,3,27,0.07,58,34,19,50.7,30.8,40.7,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110
0,X-Mike Napoli,1,1,0.00,17,25,12,26.3,22,24.2,1392,4572,697,1125,267,744,39,650,0.246,0.346,0.475,0.821,117
1,X-Jhonny Peralta,1,0,0.00,34,24,15,30.4,26.5,28.5,1798,6599,841,1761,202,873,17,606,0.267,0.329,0.423,0.752,102
0,X-J.J. Hardy,1,0,0.00,18,19,13,28.1,24,26,1561,5805,718,1488,188,688,8,411,0.256,0.305,0.408,0.714,91
0,X-Andre Ethier,1,0,0.00,21,18,12,21.5,18.8,20.2,1455,4800,641,1367,162,687,29,519,0.285,0.359,0.463,0.822,122
0,X-Jacoby Ellsbury,1,0,0.00,36,16,11,31.2,28,29.6,1235,4846,749,1376,104,512,343,399,0.284,0.342,0.417,0.76,103
0,X-Jayson Werth,1,0,0.00,19,23,15,29.2,27.5,28.4,1583,5484,883,1465,229,799,132,764,0.267,0.36,0.455,0.816,117
1,David Ortiz,1,307,0.78,171,55,20,55.3,35.2,45.3,2408,8640,1419,2472,541,1768,17,1319,0.286,0.38,0.552,0.931,141
1,X-Barry Bonds,10,260,0.66,340,77,22,162.8,72.7,117.7,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182
0,Scott Rolen HOF,5,249,0.63,99,40,17,70.1,43.6,56.9,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122
0,Todd Helton,4,205,0.52,175,59,17,61.8,46.6,54.2,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
0,Andruw Jones,5,163,0.41,109,34,17,62.7,46.4,54.6,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111
1,Gary Sheffield,8,160,0.41,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
1,Alex Rodriguez,1,135,0.34,390,77,22,117.5,64.3,90.9,2784,10566,2021,3115,696,2086,329,1338,0.295,0.38,0.55,0.93,140
0,Jeff Kent,9,129,0.33,123,51,17,55.5,35.8,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
1,Manny Ramirez,6,114,0.29,226,69,19,69.3,39.9,54.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
0,Omar Vizquel,5,94,0.24,120,42,24,45.6,26.8,36.2,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82
1,X-Sammy Sosa,10,73,0.19,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,Jimmy Rollins,1,37,0.09,121,42,17,47.6,32.7,40.1,2275,9294,1421,2455,231,936,470,813,0.264,0.324,0.418,0.743,95
0,Bobby Abreu,3,34,0.09,95,54,18,60.2,41.6,50.9,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128
0,Torii Hunter,2,21,0.05,58,34,19,50.7,30.8,40.7,2372,8857,1296,2452,353,1391,195,661,0.277,0.331,0.461,0.793,110
0,X-Ryan Howard,1,8,0.02,99,25,13,14.7,19.2,17,1572,5707,848,1475,382,1194,12,709,0.258,0.343,0.515,0.859,125
0,X-Mark Teixeira,1,6,0.02,109,33,14,50.6,38,44.3,1862,6936,1099,1862,409,1298,26,918,0.268,0.36,0.509,0.869,126
0,X-Justin Morneau,1,5,0.01,56,20,14,27,24.4,25.7,1545,5699,772,1603,247,985,5,573,0.281,0.348,0.481,0.828,120
