Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Pos Summary
1,Ted Williams,1st,282,93.4%,354,73,19,121.8,67.9,94.9,53.4,2292,7706,1798,2654,521,1839,24,2021,0.344,0.482,0.634,1.116,191.0,0.0,0.0,4.5,116.0,1.5,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,*79H/1
2,Red Ruffing HOF,14th,208,68.9%,130,38,22,68.7,39.9,54.3,61.4,882,1937,207,521,36,273,1,97,0.269,0.306,0.389,0.695,81.0,273.0,225.0,3.8,109.0,1.341,624.0,538.0,18.0,4344.0,4284.0,254.0,1541.0,1987.0,*1H/79
3,Roy Campanella HOF,2nd,197,65.2%,146,43,18,42.0,35.0,38.5,44.2,1449,5030,786,1422,260,1019,38,609,0.283,0.363,0.496,0.859,125.0,1.0,0.0,5.28,79.0,1.239,2.0,2.0,0.0,15.1,13.0,1.0,6.0,16.0,*2H/97815
4,Joe Medwick HOF,7th,187,61.9%,200,47,17,54.4,39.2,46.8,53.4,1984,7635,1198,2471,205,1383,42,437,0.324,0.362,0.505,0.867,134.0,,,,,,,,,,,,,,*7H9/38
5,Lou Boudreau HOF,6th,115,38.1%,89,34,15,63.2,48.9,56.0,55.4,1646,6029,861,1779,68,789,51,796,0.295,0.38,0.415,0.795,120.0,,,,,,,,,,,,,,*65H/342
6,Al Lopez HOF,9th,109,36.1%,71,24,19,16.4,11.2,13.8,44.2,1950,5916,613,1547,51,652,46,556,0.261,0.326,0.337,0.663,83.0,,,,,,,,,,,,,,*2H/453
7,Enos Slaughter HOF,1st,100,33.1%,90,41,19,57.6,37.3,47.5,56.7,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124.0,,,,,,,,,,,,,,*9*7*H/8
8,Pee Wee Reese HOF,2nd,95,31.5%,100,39,16,68.4,42.0,55.2,55.4,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99.0,,,,,,,,,,,,,,*65H
9,Marty Marion,5th,86,28.5%,57,17,13,31.9,25.8,28.8,55.4,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81.0,,,,,,,,,,,,,,*6/H5
10,Johnny Mize HOF,4th,81,26.8%,175,47,15,70.6,48.4,59.5,53.4,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158.0,,,,,,,,,,,,,,*3H/9
11,Ralph Kiner HOF,4th,74,24.5%,137,35,10,48.0,42.7,45.3,53.4,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149.0,,,,,,,,,,,,,,*783H
12,Johnny Vander Meer,7th,72,23.8%,33,12,13,25.7,24.9,25.3,61.4,382,685,58,104,1,26,1,41,0.152,0.2,0.18,0.379,6.0,119.0,121.0,3.44,107.0,1.393,346.0,286.0,2.0,2104.2,1799.0,100.0,1132.0,1294.0,*1H
13,Allie Reynolds,5th,60,19.9%,110,33,13,25.3,21.0,23.2,61.4,475,857,56,140,1,79,1,61,0.163,0.223,0.198,0.422,18.0,182.0,107.0,3.3,109.0,1.386,434.0,309.0,48.0,2492.1,2193.0,133.0,1261.0,1423.0,*1H
14,Bucky Walters,9th,56,18.5%,105,27,19,53.5,43.3,48.4,61.4,715,1966,227,477,23,234,12,114,0.243,0.286,0.344,0.63,69.0,198.0,160.0,3.3,116.0,1.324,428.0,398.0,4.0,3104.2,2990.0,155.0,1121.0,1107.0,*15H/478
15,Phil Rizzuto HOF,4th,54,17.9%,87,23,13,42.1,34.7,38.4,55.4,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93.0,,,,,,,,,,,,,,*6/H4
16,Arky Vaughan HOF,9th,36,11.9%,116,53,14,77.9,53.1,65.5,55.4,1817,6622,1173,2103,96,926,118,937,0.318,0.406,0.453,0.859,136.0,,,,,,,,,,,,,,*65H7/4
17,Ernie Lombardi HOF,8th,34,11.3%,133,42,17,37.7,24.0,30.9,44.2,1853,5855,601,1792,190,990,8,430,0.306,0.358,0.46,0.818,126.0,,,,,,,,,,,,,,*2*H
18,Mel Harder,10th,34,11.3%,51,21,20,44.3,38.0,41.1,61.4,584,1203,89,199,4,93,2,39,0.165,0.194,0.215,0.409,7.0,223.0,186.0,3.8,113.0,1.408,582.0,433.0,24.0,3426.1,3706.0,161.0,1118.0,1161.0,*1/H
19,Hal Newhouser HOF,3rd,32,10.6%,140,34,17,62.8,52.7,57.8,61.4,492,999,70,201,2,81,3,89,0.201,0.267,0.233,0.5,36.0,207.0,150.0,3.06,130.0,1.311,488.0,374.0,26.0,2993.0,2674.0,136.0,1249.0,1796.0,*1/H
20,Joe Gordon HOF,8th,31,10.3%,88,31,11,55.6,44.7,50.2,57.0,1566,5707,914,1530,253,975,89,759,0.268,0.357,0.466,0.822,120.0,,,,,,,,,,,,,,*43/H6
21,Bobby Doerr HOF,7th,30,9.9%,96,41,14,51.4,36.9,44.2,57.0,1865,7093,1094,2042,223,1247,54,809,0.288,0.362,0.461,0.823,115.0,,,,,,,,,,,,,,*4/H
22,George Kell HOF,2nd,29,9.6%,90,29,15,37.7,28.2,33.0,55.8,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112.0,,,,,,,,,,,,,,*53H/749
23,Billy Herman HOF,6th,28,9.3%,147,38,15,57.2,37.7,47.5,57.0,1922,7707,1163,2345,47,839,67,737,0.304,0.367,0.407,0.774,112.0,,,,,,,,,,,,,,*45/3H
24,Bobo Newsom,4th,25,8.3%,69,23,20,47.8,36.4,42.1,61.4,609,1337,87,253,1,102,1,17,0.189,0.2,0.217,0.417,10.0,211.0,222.0,3.98,107.0,1.463,600.0,483.0,21.0,3759.1,3769.0,206.0,1732.0,2082.0,*1/H
25,Bob Lemon HOF,2nd,21,7.0%,118,34,15,48.2,38.8,43.5,61.4,615,1183,148,274,37,147,2,93,0.232,0.288,0.386,0.674,83.0,207.0,128.0,3.23,119.0,1.337,460.0,350.0,22.0,2850.0,2559.0,180.0,1251.0,1277.0,*1H/859
26,Mickey Vernon,1st,20,6.6%,72,33,20,35.4,25.5,30.5,53.4,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116.0,,,,,,,,,,,,,,*3H/79
27,Al Dark,1st,17,5.6%,51,26,14,43.9,33.7,38.8,55.4,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98.0,0.0,0.0,18.0,33.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,*6*5H7/4391
28,Tommy Bridges,6th,16,5.3%,81,29,16,50.5,34.6,42.6,61.4,424,1003,84,181,0,74,0,74,0.18,0.237,0.223,0.46,19.0,194.0,138.0,3.57,126.0,1.368,424.0,362.0,10.0,2826.1,2675.0,181.0,1192.0,1674.0,*1
29,Bobby Thomson,1st,12,4.0%,31,21,15,33.7,27.4,30.6,58.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110.0,,,,,,,,,,,,,,*8*75H9/43
30,Phil Cavarretta,3rd,9,3.0%,42,22,22,36.8,26.3,31.6,53.4,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118.0,,,,,,,,,,,,,,*3H897
31,Don Newcombe,1st,7,2.3%,83,28,12,38.7,34.8,36.7,61.4,471,917,99,246,15,109,2,90,0.268,0.336,0.361,0.697,83.0,153.0,96.0,3.57,114.0,1.207,360.0,305.0,7.0,2251.2,2188.0,255.0,530.0,1187.0,*1H
32,Larry Doby HOF,1st,7,2.3%,81,36,17,56.8,39.4,48.1,58.1,1674,5883,1080,1697,273,1099,64,945,0.288,0.389,0.499,0.888,140.0,,,,,,,,,,,,,,*849H/7635
