YoB,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
1,0.934,354,73,19,121.8,67.9,94.9,53.4,2292,7706,1798,2654,521,1839,24,2021,0.344,0.482,0.634,1.116,191.0
2,0.652,146,43,18,42.0,35.0,38.5,44.2,1449,5030,786,1422,260,1019,38,609,0.283,0.363,0.496,0.859,125.0
7,0.619,200,47,17,54.4,39.2,46.8,53.4,1984,7635,1198,2471,205,1383,42,437,0.324,0.362,0.505,0.867,134.0
6,0.381,89,34,15,63.2,48.9,56.0,55.4,1646,6029,861,1779,68,789,51,796,0.295,0.38,0.415,0.795,120.0
9,0.361,71,24,19,16.4,11.2,13.8,44.2,1950,5916,613,1547,51,652,46,556,0.261,0.326,0.337,0.663,83.0
1,0.331,90,41,19,57.6,37.3,47.5,56.7,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124.0
2,0.315,100,39,16,68.4,42.0,55.2,55.4,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99.0
5,0.285,57,17,13,31.9,25.8,28.8,55.4,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81.0
4,0.268,175,47,15,70.6,48.4,59.5,53.4,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158.0
4,0.245,137,35,10,48.0,42.7,45.3,53.4,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149.0
4,0.179,87,23,13,42.1,34.7,38.4,55.4,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93.0
9,0.11900000000000001,116,53,14,77.9,53.1,65.5,55.4,1817,6622,1173,2103,96,926,118,937,0.318,0.406,0.453,0.859,136.0
8,0.113,133,42,17,37.7,24.0,30.9,44.2,1853,5855,601,1792,190,990,8,430,0.306,0.358,0.46,0.818,126.0
8,0.10300000000000001,88,31,11,55.6,44.7,50.2,57.0,1566,5707,914,1530,253,975,89,759,0.268,0.357,0.466,0.822,120.0
7,0.099,96,41,14,51.4,36.9,44.2,57.0,1865,7093,1094,2042,223,1247,54,809,0.288,0.362,0.461,0.823,115.0
2,0.096,90,29,15,37.7,28.2,33.0,55.8,1795,6702,880,2054,78,870,51,621,0.306,0.367,0.414,0.781,112.0
6,0.09300000000000001,147,38,15,57.2,37.7,47.5,57.0,1922,7707,1163,2345,47,839,67,737,0.304,0.367,0.407,0.774,112.0
1,0.066,72,33,20,35.4,25.5,30.5,53.4,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116.0
1,0.055999999999999994,51,26,14,43.9,33.7,38.8,55.4,1828,7219,1064,2089,126,757,59,430,0.289,0.333,0.411,0.744,98.0
1,0.04,31,21,15,33.7,27.4,30.6,58.1,1779,6305,903,1705,264,1026,38,559,0.27,0.332,0.462,0.794,110.0
3,0.03,42,22,22,36.8,26.3,31.6,53.4,2030,6754,990,1977,95,920,65,820,0.293,0.372,0.416,0.788,118.0
1,0.023,81,36,17,56.8,39.4,48.1,58.1,1674,5883,1080,1697,273,1099,64,945,0.288,0.389,0.499,0.888,140.0
1,0.017,54,21,10,40.7,32.2,36.5,57.0,1336,4676,697,1291,112,576,45,559,0.276,0.356,0.41,0.766,111.0
1,0.017,71,21,17,4.6,6.2,5.4,44.2,1666,4772,550,1087,92,525,15,456,0.228,0.295,0.344,0.639,74.0
1,0.013000000000000001,10,13,15,19.4,20.7,20.1,53.4,1666,5940,836,1658,114,563,43,552,0.279,0.342,0.391,0.732,95.0
1,0.013000000000000001,4,16,12,18.6,17.0,17.8,55.8,1312,4206,562,1068,91,533,42,646,0.254,0.354,0.374,0.728,96.0
1,0.013000000000000001,45,23,15,25.2,22.2,23.7,53.4,1399,4796,709,1278,288,876,11,561,0.266,0.347,0.496,0.843,123.0
1,0.01,53,29,14,29.9,28.2,29.1,53.4,1903,7254,985,2063,288,1284,45,597,0.284,0.34,0.472,0.812,117.0
1,0.006999999999999999,2,5,10,3.8,5.4,4.6,32.5,250,165,15,28,0,7,0,4,0.17,0.189,0.182,0.371,0.0
1,0.006999999999999999,18,22,17,4.7,6.1,5.4,44.2,1309,3826,342,908,79,441,2,382,0.237,0.312,0.356,0.668,78.0
1,0.006999999999999999,37,22,17,36.8,29.7,33.3,58.1,1852,6292,844,1796,213,976,38,561,0.285,0.35,0.449,0.799,117.0
1,0.006999999999999999,41,27,15,34.6,25.5,30.0,56.7,1806,6378,895,1910,192,1058,48,514,0.299,0.355,0.458,0.813,112.0
1,0.003,15,17,10,21.2,22.4,21.8,55.4,1325,4644,568,1199,55,474,31,491,0.258,0.333,0.342,0.674,82.0
1,0.003,12,11,11,25.9,25.8,25.8,55.4,961,2694,459,736,51,263,21,456,0.273,0.39,0.411,0.801,115.0
1,0.003,0,13,14,15.7,13.4,14.6,55.8,1281,4019,591,1082,37,303,67,414,0.269,0.34,0.368,0.708,90.0
8,0.726,200,47,17,54.4,39.2,46.8,53.4,1984,7635,1198,2471,205,1383,42,437,0.324,0.362,0.505,0.867,134.0
3,0.6990000000000001,146,43,18,42.0,35.0,38.5,44.2,1449,5030,786,1422,260,1019,38,609,0.283,0.363,0.496,0.859,125.0
7,0.49,89,34,15,63.2,48.9,56.0,55.4,1646,6029,861,1779,68,789,51,796,0.295,0.38,0.415,0.795,120.0
5,0.425,137,35,10,48.0,42.7,45.3,53.4,1472,5205,971,1451,369,1015,22,1011,0.279,0.398,0.548,0.946,149.0
2,0.42100000000000004,90,41,19,57.6,37.3,47.5,56.7,2380,7946,1247,2383,169,1304,71,1018,0.3,0.382,0.453,0.834,124.0
10,0.39,71,24,19,16.4,11.2,13.8,44.2,1950,5916,613,1547,51,652,46,556,0.261,0.326,0.337,0.663,83.0
6,0.308,57,17,13,31.9,25.8,28.8,55.4,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81.0
3,0.305,100,39,16,68.4,42.0,55.2,55.4,2166,8058,1338,2170,126,885,232,1210,0.269,0.366,0.377,0.743,99.0
5,0.305,175,47,15,70.6,48.4,59.5,53.4,1884,6443,1118,2011,359,1337,28,856,0.312,0.397,0.562,0.959,158.0
5,0.243,87,23,13,42.1,34.7,38.4,55.4,1661,5816,877,1588,38,563,149,651,0.273,0.351,0.355,0.706,93.0
9,0.226,88,31,11,55.6,44.7,50.2,57.0,1566,5707,914,1530,253,975,89,759,0.268,0.357,0.466,0.822,120.0
7,0.20199999999999999,147,38,15,57.2,37.7,47.5,57.0,1922,7707,1163,2345,47,839,67,737,0.304,0.367,0.407,0.774,112.0
10,0.158,116,53,14,77.9,53.1,65.5,55.4,1817,6622,1173,2103,96,926,118,937,0.318,0.406,0.453,0.859,136.0
9,0.147,133,42,17,37.7,24.0,30.9,44.2,1853,5855,601,1792,190,990,8,430,0.306,0.358,0.46,0.818,126.0
